time;T_C;W_raw_kg
2026-08-11T08:19:29Z;23.5;22.08
2026-08-11T08:23:46Z;24.0;22.1
2026-08-11T08:28:02Z;24.0;22.09
2026-08-11T08:32:19Z;24.0;22.07
2026-08-11T08:36:35Z;24.5;22.06
2026-08-11T08:40:51Z;24.5;22.08
2026-08-11T08:45:08Z;25.0;22.08
2026-08-11T08:49:24Z;25.5;22.07
2026-08-11T08:53:41Z;26.0;22.07
2026-08-11T08:57:57Z;26.0;22.05
2026-08-11T09:02:14Z;26.0;22.06
2026-08-11T09:06:30Z;27.0;22.04
2026-08-11T09:10:46Z;27.0;22.04
2026-08-11T09:15:03Z;27.5;22.03
2026-08-11T09:19:19Z;27.5;22.04
2026-08-11T09:23:36Z;27.5;22.01
2026-08-11T09:27:52Z;28.0;22.01
2026-08-11T09:32:09Z;28.0;22.01
2026-08-11T09:36:25Z;29.0;22.0
2026-08-11T09:40:42Z;29.0;22.0
2026-08-11T09:44:58Z;29.5;22.0
2026-08-11T09:49:14Z;29.5;21.98
2026-08-11T09:53:31Z;30.0;22.0
2026-08-11T09:57:47Z;30.0;21.98
2026-08-11T10:02:04Z;30.0;21.98
2026-08-11T10:06:20Z;30.5;21.97
2026-08-11T10:10:37Z;30.5;21.97
2026-08-11T10:14:53Z;31.0;21.92
2026-08-11T10:19:09Z;31.0;21.96
2026-08-11T10:23:26Z;31.0;21.95
2026-08-11T10:27:42Z;31.5;21.95
2026-08-11T10:31:59Z;31.5;21.96
2026-08-11T10:36:15Z;31.5;21.96
2026-08-11T10:40:32Z;31.5;21.94
2026-08-11T10:44:48Z;32.0;21.94
2026-08-11T10:49:04Z;32.0;21.93
2026-08-11T10:53:21Z;32.0;21.92
2026-08-11T10:57:37Z;32.0;21.93
2026-08-11T11:01:54Z;32.0;21.94
2026-08-11T11:06:10Z;32.5;21.92
2026-08-11T11:10:27Z;32.5;21.92
2026-08-11T11:14:43Z;32.5;21.91
2026-08-11T11:19:00Z;32.0;21.92
2026-08-11T11:23:16Z;32.5;21.92
2026-08-11T11:27:32Z;32.5;21.9
2026-08-11T11:31:49Z;32.5;21.9
2026-08-11T11:36:05Z;32.5;21.9
2026-08-11T11:40:22Z;32.5;21.92
2026-08-11T11:44:38Z;33.0;21.91
2026-08-11T11:48:55Z;33.0;21.89
