Timestamp(ms),Current(uA)
1358730,12146.714
1358740,12187.133
1358750,12206.159
1358760,12243.439
1358770,12248.036
1358780,12136.370
1358790,12101.905
1358800,12063.221
1358810,12060.794
1358820,12045.351
1358830,12054.627
1358840,12051.400
1358850,12054.965
1358860,11119.551
1358870,10108.899
1358880,6832.494
1358890,2588.553
1358900,965.655
1358910,368.420
1358920,150.354
1358930,70.595
1358940,41.875
1358950,30.975
1358960,26.819
